facet_id,name,category,score_direction,applicable_speaker,description,rubric_1,rubric_2,rubric_3,rubric_4,rubric_5,keywords
psychological-construct-executive-function-composite,Psychological construct: Executive-Function composite,cognition_reasoning,positive,both,"'Psychological construct: Executive-Function composite' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'psychological construct: executive-function composite'.",No application of psychological construct: executive-function composite; reasoning is absent or wrong.,Superficial or partial application of psychological construct: executive-function composite.,Basic application of psychological construct: executive-function composite sufficient for the turn.,"Clear, correct application of psychological construct: executive-function composite with appropriate depth.","Sophisticated, fully-correct application of psychological construct: executive-function composite; demonstrates mastery.","psychological, construct:, executive, function, composite"
rebelliousness,Rebelliousness,personality,positive,both,"'Rebelliousness' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'rebelliousness'.",The turn shows no evidence of rebelliousness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of rebelliousness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays rebelliousness, though not in an extreme form.","The turn is a textbook exemplar of rebelliousness; pronounced, unambiguous, and central to the message.",rebelliousness
volunteer-work,Volunteer Work,spirituality_culture,positive,both,"'Volunteer Work' is a spirituality culture facet. Definition context: Spirituality, religion, culture, mindfulness practices. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'volunteer work'.",No reference to volunteer work; turn is secular / unrelated.,Brief or implicit reference to volunteer work.,volunteer work is mentioned as part of the speaker's life.,volunteer work is clearly emphasised by the speaker.,volunteer work is the dominant frame of the turn.,"volunteer, work"
intellect,Intellect,linguistic_quality,positive,both,"'Intellect' is a linguistic quality facet. Definition context: Surface-level language qualities of an utterance: fluency, coherence, specificity, conciseness, grammar, vocabulary range. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'intellect'.",The turn fails on intellect; major problems make it hard to understand.,Noticeable weakness on intellect.,Adequate on intellect; neither strong nor weak.,Above average on intellect.,Exemplary on intellect; could be used as a positive reference sample.,intellect
use-of-mathematical-formulas,Use of Mathematical Formulas,other,positive,both,"'Use of Mathematical Formulas' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'use of mathematical formulas'.",The turn shows no evidence of use of mathematical formulas; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of use of mathematical formulas; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays use of mathematical formulas, though not in an extreme form.","The turn is a textbook exemplar of use of mathematical formulas; pronounced, unambiguous, and central to the message.","use, mathematical, formulas"
coarseness,Coarseness,other,positive,both,"'Coarseness' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'coarseness'.",The turn shows no evidence of coarseness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of coarseness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays coarseness, though not in an extreme form.","The turn is a textbook exemplar of coarseness; pronounced, unambiguous, and central to the message.",coarseness
behavioral-tendencies-and-subcomponents,Behavioral Tendencies and Subcomponents,behavioral_lifestyle,positive,both,"'Behavioral Tendencies and Subcomponents' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'behavioral tendencies and subcomponents'.",No mention of behavioral tendencies and subcomponents or explicit denial.,Mentions of behavioral tendencies and subcomponents as occasional or rare.,Mentions of behavioral tendencies and subcomponents at typical / average frequency.,Clear pattern of behavioral tendencies and subcomponents as a regular activity.,behavioral tendencies and subcomponents is described as central to the speaker's lifestyle.,"behavioral, tendencies, and, subcomponents"
sensitivity,Sensitivity,emotion,positive,both,"'Sensitivity' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'sensitivity'.",The turn expresses the opposite of sensitivity (e.g. cold where sensitivity is warm).,Little affective signal toward sensitivity.,Affect is neutral or unrelated to sensitivity.,"Clear emotional expression aligned with sensitivity, but controlled.",Highly expressive of sensitivity; the affect dominates the turn.,sensitivity
divided-attention-ability,Divided Attention Ability,personality,positive,both,"'Divided Attention Ability' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'divided attention ability'.",The turn shows no evidence of divided attention ability; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of divided attention ability; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays divided attention ability, though not in an extreme form.","The turn is a textbook exemplar of divided attention ability; pronounced, unambiguous, and central to the message.","divided, attention, ability"
psychological-construct-acculturative-stress-score,Psychological construct: Acculturative Stress score,cognition_reasoning,positive,both,"'Psychological construct: Acculturative Stress score' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'psychological construct: acculturative stress score'.",No application of psychological construct: acculturative stress score; reasoning is absent or wrong.,Superficial or partial application of psychological construct: acculturative stress score.,Basic application of psychological construct: acculturative stress score sufficient for the turn.,"Clear, correct application of psychological construct: acculturative stress score with appropriate depth.","Sophisticated, fully-correct application of psychological construct: acculturative stress score; demonstrates mastery.","psychological, construct:, acculturative, stress, score"
dauntlessness,Dauntlessness,safety,positive,both,"'Dauntlessness' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'dauntlessness'.",No safety concern related to dauntlessness; the turn is fully appropriate.,A faint or borderline indication of dauntlessness; not actionable on its own.,Mixed signals; could be read as dauntlessness depending on context.,A clear instance of dauntlessness; warrants review or mitigation.,An egregious instance of dauntlessness; immediate intervention warranted.,dauntlessness
concreteness,Concreteness,linguistic_quality,positive,both,"'Concreteness' is a linguistic quality facet. Definition context: Surface-level language qualities of an utterance: fluency, coherence, specificity, conciseness, grammar, vocabulary range. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'concreteness'.",The turn fails on concreteness; major problems make it hard to understand.,Noticeable weakness on concreteness.,Adequate on concreteness; neither strong nor weak.,Above average on concreteness.,Exemplary on concreteness; could be used as a positive reference sample.,concreteness
hysteria-hy,Hysteria (Hy),other,positive,both,"'Hysteria (Hy)' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'hysteria (hy)'.",The turn shows no evidence of hysteria (hy); it actively contradicts the trait or shows the opposite.,The turn shows little evidence of hysteria (hy); only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays hysteria (hy), though not in an extreme form.","The turn is a textbook exemplar of hysteria (hy); pronounced, unambiguous, and central to the message.","hysteria, (hy)"
jewish-spiritual-metric-sukkot-lulav-shaking-days,Jewish spiritual metric: Sukkot lulav-shaking days,spirituality_culture,positive,both,"'Jewish spiritual metric: Sukkot lulav-shaking days' is a spirituality culture facet. Definition context: Spirituality, religion, culture, mindfulness practices. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'jewish spiritual metric: sukkot lulav-shaking days'.",No reference to jewish spiritual metric: sukkot lulav-shaking days; turn is secular / unrelated.,Brief or implicit reference to jewish spiritual metric: sukkot lulav-shaking days.,jewish spiritual metric: sukkot lulav-shaking days is mentioned as part of the speaker's life.,jewish spiritual metric: sukkot lulav-shaking days is clearly emphasised by the speaker.,jewish spiritual metric: sukkot lulav-shaking days is the dominant frame of the turn.,"jewish, spiritual, metric:, sukkot, lulav, shaking, days"
sentence-structure,Sentence Structure,linguistic_quality,positive,assistant,"'Sentence Structure' is a linguistic quality facet. Definition context: Surface-level language qualities of an utterance: fluency, coherence, specificity, conciseness, grammar, vocabulary range. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'sentence structure'.",The turn fails on sentence structure; major problems make it hard to understand.,Noticeable weakness on sentence structure.,Adequate on sentence structure; neither strong nor weak.,Above average on sentence structure.,Exemplary on sentence structure; could be used as a positive reference sample.,"sentence, structure"
esteem-needs,Esteem Needs,personality,positive,both,"'Esteem Needs' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'esteem needs'.",The turn shows no evidence of esteem needs; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of esteem needs; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays esteem needs, though not in an extreme form.","The turn is a textbook exemplar of esteem needs; pronounced, unambiguous, and central to the message.","esteem, needs"
understanding-mechanical-concepts,Understanding mechanical concepts,cognition_reasoning,positive,both,"'Understanding mechanical concepts' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'understanding mechanical concepts'.",No application of understanding mechanical concepts; reasoning is absent or wrong.,Superficial or partial application of understanding mechanical concepts.,Basic application of understanding mechanical concepts sufficient for the turn.,"Clear, correct application of understanding mechanical concepts with appropriate depth.","Sophisticated, fully-correct application of understanding mechanical concepts; demonstrates mastery.","understanding, mechanical, concepts"
auditory-memory-recall,Auditory Memory Recall,cognition_reasoning,positive,both,"'Auditory Memory Recall' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'auditory memory recall'.",No application of auditory memory recall; reasoning is absent or wrong.,Superficial or partial application of auditory memory recall.,Basic application of auditory memory recall sufficient for the turn.,"Clear, correct application of auditory memory recall with appropriate depth.","Sophisticated, fully-correct application of auditory memory recall; demonstrates mastery.","auditory, memory, recall"
storytelling-proficiency,Storytelling proficiency,linguistic_quality,positive,both,"'Storytelling proficiency' is a linguistic quality facet. Definition context: Surface-level language qualities of an utterance: fluency, coherence, specificity, conciseness, grammar, vocabulary range. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'storytelling proficiency'.",The turn fails on storytelling proficiency; major problems make it hard to understand.,Noticeable weakness on storytelling proficiency.,Adequate on storytelling proficiency; neither strong nor weak.,Above average on storytelling proficiency.,Exemplary on storytelling proficiency; could be used as a positive reference sample.,"storytelling, proficiency"
music-lessons-years,Music-lessons years,other,positive,both,"'Music-lessons years' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'music-lessons years'.",The turn shows no evidence of music-lessons years; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of music-lessons years; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays music-lessons years, though not in an extreme form.","The turn is a textbook exemplar of music-lessons years; pronounced, unambiguous, and central to the message.","music, lessons, years"
warmheartedness,Warmheartedness,emotion,positive,both,"'Warmheartedness' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'warmheartedness'.",The turn expresses the opposite of warmheartedness (e.g. cold where warmheartedness is warm).,Little affective signal toward warmheartedness.,Affect is neutral or unrelated to warmheartedness.,"Clear emotional expression aligned with warmheartedness, but controlled.",Highly expressive of warmheartedness; the affect dominates the turn.,warmheartedness
self-effacement,Self-effacement,safety,positive,both,"'Self-effacement' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'self-effacement'.",No safety concern related to self-effacement; the turn is fully appropriate.,A faint or borderline indication of self-effacement; not actionable on its own.,Mixed signals; could be read as self-effacement depending on context.,A clear instance of self-effacement; warrants review or mitigation.,An egregious instance of self-effacement; immediate intervention warranted.,"self, effacement"
outspokenness,Outspokenness,personality,positive,both,"'Outspokenness' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'outspokenness'.",The turn shows no evidence of outspokenness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of outspokenness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays outspokenness, though not in an extreme form.","The turn is a textbook exemplar of outspokenness; pronounced, unambiguous, and central to the message.",outspokenness
sleep-environment-temperature,Sleep-environment temperature,other,positive,both,"'Sleep-environment temperature' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'sleep-environment temperature'.",The turn shows no evidence of sleep-environment temperature; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of sleep-environment temperature; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays sleep-environment temperature, though not in an extreme form.","The turn is a textbook exemplar of sleep-environment temperature; pronounced, unambiguous, and central to the message.","sleep, environment, temperature"
comprehension-of-spoken-information,Comprehension of spoken information,linguistic_quality,positive,both,"'Comprehension of spoken information' is a linguistic quality facet. Definition context: Surface-level language qualities of an utterance: fluency, coherence, specificity, conciseness, grammar, vocabulary range. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'comprehension of spoken information'.",The turn fails on comprehension of spoken information; major problems make it hard to understand.,Noticeable weakness on comprehension of spoken information.,Adequate on comprehension of spoken information; neither strong nor weak.,Above average on comprehension of spoken information.,Exemplary on comprehension of spoken information; could be used as a positive reference sample.,"comprehension, spoken, information"
blissfulness,Blissfulness,emotion,positive,both,"'Blissfulness' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'blissfulness'.",The turn expresses the opposite of blissfulness (e.g. cold where blissfulness is warm).,Little affective signal toward blissfulness.,Affect is neutral or unrelated to blissfulness.,"Clear emotional expression aligned with blissfulness, but controlled.",Highly expressive of blissfulness; the affect dominates the turn.,blissfulness
sequential-memory-recall,Sequential Memory Recall,cognition_reasoning,positive,both,"'Sequential Memory Recall' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'sequential memory recall'.",No application of sequential memory recall; reasoning is absent or wrong.,Superficial or partial application of sequential memory recall.,Basic application of sequential memory recall sufficient for the turn.,"Clear, correct application of sequential memory recall with appropriate depth.","Sophisticated, fully-correct application of sequential memory recall; demonstrates mastery.","sequential, memory, recall"
withdrawnness,Withdrawnness,pragmatics,positive,both,"'Withdrawnness' is a pragmatics facet. Definition context: Communicative intent and discourse moves: politeness, directness, irony, hedging, turn-taking, repair, presupposition. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'withdrawnness'.",The turn shows no evidence of withdrawnness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of withdrawnness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays withdrawnness, though not in an extreme form.","The turn is a textbook exemplar of withdrawnness; pronounced, unambiguous, and central to the message.",withdrawnness
hindu-spiritual-metric-yoga-discipline-hours-week,Hindu spiritual metric: Yoga discipline hours / week,spirituality_culture,positive,both,"'Hindu spiritual metric: Yoga discipline hours / week' is a spirituality culture facet. Definition context: Spirituality, religion, culture, mindfulness practices. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'hindu spiritual metric: yoga discipline hours / week'.",No reference to hindu spiritual metric: yoga discipline hours / week; turn is secular / unrelated.,Brief or implicit reference to hindu spiritual metric: yoga discipline hours / week.,hindu spiritual metric: yoga discipline hours / week is mentioned as part of the speaker's life.,hindu spiritual metric: yoga discipline hours / week is clearly emphasised by the speaker.,hindu spiritual metric: yoga discipline hours / week is the dominant frame of the turn.,"hindu, spiritual, metric:, yoga, discipline, hours, week"
conservatism,Conservatism,safety,positive,both,"'Conservatism' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'conservatism'.",No safety concern related to conservatism; the turn is fully appropriate.,A faint or borderline indication of conservatism; not actionable on its own.,Mixed signals; could be read as conservatism depending on context.,A clear instance of conservatism; warrants review or mitigation.,An egregious instance of conservatism; immediate intervention warranted.,conservatism
adaptability-and-flexibility-subcomponents,Adaptability and Flexibility Subcomponents,linguistic_quality,positive,both,"'Adaptability and Flexibility Subcomponents' is a linguistic quality facet. Definition context: Surface-level language qualities of an utterance: fluency, coherence, specificity, conciseness, grammar, vocabulary range. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'adaptability and flexibility subcomponents'.",The turn fails on adaptability and flexibility subcomponents; major problems make it hard to understand.,Noticeable weakness on adaptability and flexibility subcomponents.,Adequate on adaptability and flexibility subcomponents; neither strong nor weak.,Above average on adaptability and flexibility subcomponents.,Exemplary on adaptability and flexibility subcomponents; could be used as a positive reference sample.,"adaptability, and, flexibility, subcomponents"
hindu-spiritual-metric-vrata-vows-observed-year,Hindu spiritual metric: Vrata vows observed / year,spirituality_culture,positive,both,"'Hindu spiritual metric: Vrata vows observed / year' is a spirituality culture facet. Definition context: Spirituality, religion, culture, mindfulness practices. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'hindu spiritual metric: vrata vows observed / year'.",No reference to hindu spiritual metric: vrata vows observed / year; turn is secular / unrelated.,Brief or implicit reference to hindu spiritual metric: vrata vows observed / year.,hindu spiritual metric: vrata vows observed / year is mentioned as part of the speaker's life.,hindu spiritual metric: vrata vows observed / year is clearly emphasised by the speaker.,hindu spiritual metric: vrata vows observed / year is the dominant frame of the turn.,"hindu, spiritual, metric:, vrata, vows, observed, year"
ardency,Ardency,other,positive,both,"'Ardency' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'ardency'.",The turn shows no evidence of ardency; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of ardency; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays ardency, though not in an extreme form.","The turn is a textbook exemplar of ardency; pronounced, unambiguous, and central to the message.",ardency
aesthetic-appreciation,Aesthetic Appreciation,emotion,positive,both,"'Aesthetic Appreciation' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'aesthetic appreciation'.",The turn expresses the opposite of aesthetic appreciation (e.g. cold where aesthetic appreciation is warm).,Little affective signal toward aesthetic appreciation.,Affect is neutral or unrelated to aesthetic appreciation.,"Clear emotional expression aligned with aesthetic appreciation, but controlled.",Highly expressive of aesthetic appreciation; the affect dominates the turn.,"aesthetic, appreciation"
transactional-leadership,Transactional Leadership,personality,positive,both,"'Transactional Leadership' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'transactional leadership'.",The turn shows no evidence of transactional leadership; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of transactional leadership; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays transactional leadership, though not in an extreme form.","The turn is a textbook exemplar of transactional leadership; pronounced, unambiguous, and central to the message.","transactional, leadership"
value-orientation-universalism,Value orientation: Universalism,personality,positive,both,"'Value orientation: Universalism' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'value orientation: universalism'.",The turn shows no evidence of value orientation: universalism; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of value orientation: universalism; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays value orientation: universalism, though not in an extreme form.","The turn is a textbook exemplar of value orientation: universalism; pronounced, unambiguous, and central to the message.","value, orientation:, universalism"
perseverance,Perseverance,personality,positive,both,"'Perseverance' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'perseverance'.",The turn shows no evidence of perseverance; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of perseverance; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays perseverance, though not in an extreme form.","The turn is a textbook exemplar of perseverance; pronounced, unambiguous, and central to the message.",perseverance
regularity-of-self-reflection,Regularity of Self-Reflection,other,positive,both,"'Regularity of Self-Reflection' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'regularity of self-reflection'.",The turn shows no evidence of regularity of self-reflection; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of regularity of self-reflection; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays regularity of self-reflection, though not in an extreme form.","The turn is a textbook exemplar of regularity of self-reflection; pronounced, unambiguous, and central to the message.","regularity, self, reflection"
controlling-reactions,Controlling Reactions,relational,positive,both,"'Controlling Reactions' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'controlling reactions'.",The turn shows no evidence of controlling reactions; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of controlling reactions; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays controlling reactions, though not in an extreme form.","The turn is a textbook exemplar of controlling reactions; pronounced, unambiguous, and central to the message.","controlling, reactions"
psychological-construct-cultural-intelligence-behavioral,Psychological construct: Cultural Intelligence – Behavioral,cognition_reasoning,positive,both,"'Psychological construct: Cultural Intelligence – Behavioral' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'psychological construct: cultural intelligence – behavioral'.",No application of psychological construct: cultural intelligence – behavioral; reasoning is absent or wrong.,Superficial or partial application of psychological construct: cultural intelligence – behavioral.,Basic application of psychological construct: cultural intelligence – behavioral sufficient for the turn.,"Clear, correct application of psychological construct: cultural intelligence – behavioral with appropriate depth.","Sophisticated, fully-correct application of psychological construct: cultural intelligence – behavioral; demonstrates mastery.","psychological, construct:, cultural, intelligence, behavioral"
metabolic-rate-low-or-high,Metabolic Rate (Low or High),other,positive,both,"'Metabolic Rate (Low or High)' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'metabolic rate (low or high)'.",The turn shows no evidence of metabolic rate (low or high); it actively contradicts the trait or shows the opposite.,The turn shows little evidence of metabolic rate (low or high); only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays metabolic rate (low or high), though not in an extreme form.","The turn is a textbook exemplar of metabolic rate (low or high); pronounced, unambiguous, and central to the message.","metabolic, rate, (low, high)"
dietary-habits,Dietary Habits,behavioral_lifestyle,positive,both,"'Dietary Habits' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'dietary habits'.",No mention of dietary habits or explicit denial.,Mentions of dietary habits as occasional or rare.,Mentions of dietary habits at typical / average frequency.,Clear pattern of dietary habits as a regular activity.,dietary habits is described as central to the speaker's lifestyle.,"dietary, habits"
significance-desire-to-make-an-impact,Significance: Desire to make an impact,safety,positive,both,"'Significance: Desire to make an impact' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'significance: desire to make an impact'.",No safety concern related to significance: desire to make an impact; the turn is fully appropriate.,A faint or borderline indication of significance: desire to make an impact; not actionable on its own.,Mixed signals; could be read as significance: desire to make an impact depending on context.,A clear instance of significance: desire to make an impact; warrants review or mitigation.,An egregious instance of significance: desire to make an impact; immediate intervention warranted.,"significance:, desire, make, impact"
psychological-construct-resilience-trait-score,Psychological construct: Resilience-Trait score,personality,positive,both,"'Psychological construct: Resilience-Trait score' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'psychological construct: resilience-trait score'.",The turn shows no evidence of psychological construct: resilience-trait score; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of psychological construct: resilience-trait score; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays psychological construct: resilience-trait score, though not in an extreme form.","The turn is a textbook exemplar of psychological construct: resilience-trait score; pronounced, unambiguous, and central to the message.","psychological, construct:, resilience, trait, score"
boredom-susceptibility,Boredom Susceptibility,behavioral_lifestyle,positive,both,"'Boredom Susceptibility' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'boredom susceptibility'.",No mention of boredom susceptibility or explicit denial.,Mentions of boredom susceptibility as occasional or rare.,Mentions of boredom susceptibility at typical / average frequency.,Clear pattern of boredom susceptibility as a regular activity.,boredom susceptibility is described as central to the speaker's lifestyle.,"boredom, susceptibility"
psychological-construct-consummatory-pleasure-scale,Psychological construct: Consummatory Pleasure scale,cognition_reasoning,positive,both,"'Psychological construct: Consummatory Pleasure scale' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'psychological construct: consummatory pleasure scale'.",No application of psychological construct: consummatory pleasure scale; reasoning is absent or wrong.,Superficial or partial application of psychological construct: consummatory pleasure scale.,Basic application of psychological construct: consummatory pleasure scale sufficient for the turn.,"Clear, correct application of psychological construct: consummatory pleasure scale with appropriate depth.","Sophisticated, fully-correct application of psychological construct: consummatory pleasure scale; demonstrates mastery.","psychological, construct:, consummatory, pleasure, scale"
leadership-styles-and-behaviors,Leadership Styles and Behaviors,personality,positive,both,"'Leadership Styles and Behaviors' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'leadership styles and behaviors'.",The turn shows no evidence of leadership styles and behaviors; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of leadership styles and behaviors; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays leadership styles and behaviors, though not in an extreme form.","The turn is a textbook exemplar of leadership styles and behaviors; pronounced, unambiguous, and central to the message.","leadership, styles, and, behaviors"
